index,code,areaName,cx,cy,region,Average size,Under 25,25-50,50+,ratio
1,E09000020,Kensington and Chelsea,525606,179504,E12000007,2.100068776,30598,58659,52849,0.09265474343
2,E09000007,Camden,527931,184580,E12000007,2.181970094,52663,91332,64103,0.09863378517
3,E09000033,Westminster,527739,181005,E12000007,2.097252544,46649,91029,64701,0.1030763161
4,E09000013,Hammersmith and Fulham,523529,178905,E12000007,2.220188568,42534,85680,53064,0.1108343738
5,E09000005,Brent,520189,185924,E12000007,2.800278211,79834,146259,109751,0.1146240884
6,E07000207,Elmbridge,512060,163238,E12000008,2.468475113,26941,51739,58552,0.115465408
7,E09000014,Haringey,531225,189614,E12000007,2.477752826,56941,122414,81848,0.1161130442
8,E07000098,Hertsmere,518976,199022,E12000006,2.499250269,22431,40139,44060,0.1177465988
9,E07000210,Mole Valley,517049,147214,E12000008,2.318066774,16022,27793,42841,0.121349081
10,E09000019,Islington,531145,185005,E12000007,2.184235616,48779,106210,59142,0.1223446981
11,E07000044,South Hams,270440,54205,E12000009,2.228131276,14509,25029,48509,0.1230192211
12,E09000003,Barnet,524095,192314,E12000007,2.584580672,84790,161152,138787,0.1235236902
13,E07000111,Sevenoaks,551567,155211,E12000008,2.434718737,23261,40753,55259,0.123602613
14,E07000178,Oxford,452441,206500,E12000008,2.529915458,52673,60956,47028,0.1238743924
15,E09000012,Hackney,534348,185478,E12000007,2.404200564,60366,127767,67624,0.1240350875
16,E07000079,Cotswold,407474,213072,E12000009,2.210164564,15646,27576,46868,0.1253687888
17,E09000027,Richmond upon Thames,517367,172867,E12000007,2.395626045,37842,77566,77847,0.1261068124
18,E09000024,Merton,525579,169458,E12000007,2.614298474,43608,96870,71970,0.1306915256
19,E07000225,Chichester,488437,116059,E12000008,2.219781235,23110,36318,63708,0.1307209808
20,E07000102,Three Rivers,506561,196949,E12000006,2.523223006,19227,34047,39523,0.1315874961
21,E09000015,Harrow,514912,190121,E12000007,2.873329466,56627,106096,95446,0.1332765
22,E06000043,Brighton and Hove,531606,106526,E12000008,2.211355661,68822,107872,98214,0.1334264989
23,E07000047,West Devon,255465,86000,E12000009,2.238607518,9437,15880,31359,0.1360990532
24,E07000008,Cambridge,545770,257755,E12000006,2.3752406,44503,59602,40347,0.1368096317
25,E09000009,Ealing,515931,181701,E12000007,2.703197714,82095,159164,121717,0.1375373344
26,E07000216,Waverley,495682,139877,E12000008,2.369985509,25813,42553,58764,0.1377093313
27,E07000091,New Forest,426464,106633,E12000008,2.234822407,29120,49668,95697,0.1381273409
28,E07000241,Welwyn Hatfield,524698,209206,E12000006,2.480318539,29936,44005,44661,0.1388457288
29,E07000072,Epping Forest,548522,203300,E12000006,2.45352567,26494,48752,58224,0.1408569109
30,E09000021,Kingston upon Thames,519327,166705,E12000007,2.507847499,37055,68952,60255,0.1411310952
31,E09000031,Waltham Forest,537726,190195,E12000007,2.67206344,59040,131461,84011,0.1413569591
32,E09000010,Enfield,532411,196432,E12000007,2.702137689,77435,129545,119285,0.1420180215
33,E07000065,Wealden,554434,120966,E12000008,2.311179797,28069,47419,83360,0.1422756426
34,E07000208,Epsom and Ewell,521188,161461,E12000008,2.552777778,16459,30163,33450,0.1423211801
35,E07000215,Tandridge,536712,149345,E12000008,2.415489992,17296,29801,39867,0.1429639512
36,E06000040,Windsor and Maidenhead,490435,177040,E12000008,2.447821449,30982,56347,64704,0.143245538
37,E09000026,Redbridge,543919,189405,E12000007,2.955212943,72542,131602,102054,0.1433504389
38,E07000043,North Devon,265967,131782,E12000009,2.247007894,17574,30085,50160,0.1437118435
39,E09000028,Southwark,533829,176738,E12000007,2.306257549,71775,147999,84637,0.1441790127
40,E07000147,North Norfolk,613546,332832,E12000006,2.084404846,15344,26531,60485,0.1446979742
41,E07000077,Uttlesford,556816,228707,E12000006,2.447183289,17687,31461,41359,0.1456706649
42,E07000094,Winchester,454712,125708,E12000008,2.354660943,28758,41262,56343,0.14615981
